city,location,price,bedrooms,baths,size,price_lakh,size_marla,price_per_sqft,bedroom_group,price_band
Lahore,"Allama Iqbal Town - Badar Block, Allama Iqbal Town",35000000,4,5,2250.0,350.0,10.0,15555.555555555555,4,2.5 â€“ 5 Cr
Lahore,"Askari 10 - Sector F, Askari 10",96000000,5,6,3825.0,960.0,17.0,25098.039215686276,5,5 â€“ 10 Cr
Lahore,"DHA Phase 6 - Block L, DHA Phase 6",99500000,5,6,4500.0,995.0,20.0,22111.11111111111,5,5 â€“ 10 Cr
Lahore,"DHA Phase 7 - Block X, DHA Phase 7",64000000,5,6,4500.0,640.0,20.0,14222.222222222223,5,5 â€“ 10 Cr
Lahore,"Pak Arab Housing Society, Lahore",17000000,3,5,1125.0,170.0,5.0,15111.111111111111,3,50L â€“ 2.5 Cr
Lahore,"Allama Iqbal Town, Lahore",38500000,5,5,2250.0,385.0,10.0,17111.11111111111,5,2.5 â€“ 5 Cr
Lahore,"DHA Phase 6 - Block D, DHA Phase 6",43000000,4,5,1575.0,430.0,7.0,27301.5873015873,4,2.5 â€“ 5 Cr
Lahore,"Bahria Town - Talha Block, Bahria Town - Sector E",4799000,1,1,338.0,47.99,1.5022222222222221,14198.224852071005,1,< 50 Lakh
Lahore,"DHA Phase 6 - Block K, DHA Phase 6",113000000,5,6,4500.0,1130.0,20.0,25111.11111111111,5,10 â€“ 50 Cr
Lahore,"DHA 11 Rahbar Phase 2 - Block L, DHA 11 Rahbar Phase 2",23000000,3,4,1125.0,230.0,5.0,20444.444444444445,3,50L â€“ 2.5 Cr
Lahore,"Johar Town, Lahore",18500000,5,5,1125.0,185.0,5.0,16444.444444444445,5,50L â€“ 2.5 Cr
Lahore,"Central Park - Block A, Central Park Housing Scheme",26000000,5,6,2250.0,260.0,10.0,11555.555555555555,5,2.5 â€“ 5 Cr
Lahore,"Air Avenue Luxury Apartments, DHA Phase 8",14500000,2,2,1012.0,145.0,4.497777777777777,14328.06324110672,2,50L â€“ 2.5 Cr
Lahore,"Bahria Town - Sector D, Bahria Town",16000000,3,5,1125.0,160.0,5.0,14222.222222222223,3,50L â€“ 2.5 Cr
Lahore,"Bahria Town - Janiper Block, Bahria Town - Sector C",29000000,5,7,2250.0,290.0,10.0,12888.888888888889,5,2.5 â€“ 5 Cr
Lahore,"DHA Phase 6, DHA Defence",94000000,5,6,4500.0,940.0,20.0,20888.88888888889,5,5 â€“ 10 Cr
Lahore,"Air Avenue - Block N, DHA Phase 8 - Ex Air Avenue",46500000,4,5,2250.0,465.0,10.0,20666.666666666668,4,2.5 â€“ 5 Cr
Lahore,"Air Avenue - Block L, DHA Phase 8 - Ex Air Avenue",52500000,4,5,2250.0,525.0,10.0,23333.333333333332,4,5 â€“ 10 Cr
Lahore,"Air Avenue - Block P, DHA Phase 8 - Ex Air Avenue",82500000,5,6,4500.0,825.0,20.0,18333.333333333332,5,5 â€“ 10 Cr
Lahore,"DHA Phase 6 - Block D, DHA Phase 6",42500000,4,5,1800.0,425.0,8.0,23611.11111111111,4,2.5 â€“ 5 Cr
Lahore,"DHA Phase 7 - Block Y, DHA Phase 7",61500000,5,6,2250.0,615.0,10.0,27333.333333333332,5,5 â€“ 10 Cr
Lahore,"Khuda Buksh Colony, Cantt",24000000,4,4,1575.0,240.0,7.0,15238.095238095239,4,50L â€“ 2.5 Cr
Lahore,"Khuda Buksh Colony, Cantt",39500000,6,6,4500.0,395.0,20.0,8777.777777777777,6,2.5 â€“ 5 Cr
